date,aircraft_official,helicopter_official,tank_official,APC_official,field_artillery_official,MRL_official,military_auto_official,fuel_tank_official,drone_official,naval_ship_official,anti_aircraft_warfare_official,special_equipment_official,mobile_SRBM_system_official,vehicles_and_fuel_tanks_official,cruise_missiles_official,submarines_official,ground_robotic_systems_official,APC_ws,MRL_ws,aircraft_ws,anti_aircraft_warfare_ws,drone_ws,field_artillery_ws,helicopter_ws,naval_ship_ws,tank_ws
2022-03-22,2.0,2.0,11.0,21.0,12.0,0.0,31.0,10.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,2.0,6.0,0.0,1.0,7.0
2022-03-23,2.0,1.0,8.0,22.0,15.0,0.0,8.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0
2022-03-24,7.0,0.0,13.0,19.0,13.0,2.0,25.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,7.0
2022-03-25,7.0,1.0,31.0,28.0,11.0,8.0,56.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0
2022-03-26,2.0,2.0,14.0,15.0,2.0,1.0,42.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,4.0
2022-03-27,4.0,0.0,7.0,24.0,1.0,2.0,13.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,11.0
2022-03-28,2.0,0.0,4.0,30.0,8.0,2.0,6.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,13.0
2022-03-29,4.0,2.0,11.0,16.0,1.0,1.0,28.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0
2022-03-30,4.0,2.0,8.0,13.0,2.0,0.0,6.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,10.0
2022-03-31,4.0,0.0,9.0,12.0,6.0,0.0,17.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,3.0,0.0,2.0,2.0,9.0,1.0,0.0,38.0
2022-04-01,8.0,0.0,11.0,16.0,5.0,0.0,19.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,3.0,0.0,4.0,1.0,3.0,1.0,0.0,13.0
2022-04-02,0.0,3.0,6.0,25.0,1.0,4.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2.0,0.0,2.0,2.0,10.0,0.0,0.0,15.0
2022-04-03,0.0,0.0,13.0,54.0,8.0,5.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,10.0
2022-04-04,4.0,0.0,3.0,14.0,5.0,2.0,24.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,7.0
2022-04-05,3.0,0.0,29.0,14.0,2.0,0.0,49.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,11.0
2022-04-06,0.0,1.0,8.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0
2022-04-07,0.0,0.0,14.0,30.0,0.0,1.0,34.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,23.0
2022-04-08,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0
2022-04-09,1.0,1.0,5.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0
